type,sortOrder,parentSlug,name,slug,tagline,description,status,filterGroup,iconAssetFile,imageAssetFile,imageAlt,lucideIconKey,commonServicesPipeSeparated
parent,1,,Plumbing,plumbing,Leaks & water heaters,"Licensed plumbers for leaks, water heaters, drain cleaning, and fixture installation.",active,,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,Copper pipes and a chrome kitchen faucet being repaired,droplets,Leak detection and repair | Water heater installation | Drain cleaning | Fixture replacement | Sewer line inspection | Emergency shutoff support | Toilet repair | Faucet installation | Garbage disposal repair
child,1,plumbing,Leak detection and repair,plumbing-leak-detection-and-repair,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
child,2,plumbing,Water heater installation,plumbing-water-heater-installation,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
child,3,plumbing,Drain cleaning,plumbing-drain-cleaning,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
child,4,plumbing,Fixture replacement,plumbing-fixture-replacement,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
child,5,plumbing,Sewer line inspection,plumbing-sewer-line-inspection,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
child,6,plumbing,Emergency shutoff support,plumbing-emergency-shutoff-support,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
child,7,plumbing,Toilet repair,plumbing-toilet-repair,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
child,8,plumbing,Faucet installation,plumbing-faucet-installation,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
child,9,plumbing,Garbage disposal repair,plumbing-garbage-disposal-repair,,,active,plumbing,assets/icons/plumbing.svg,assets/images/service-plumbing.jpg,,,
parent,2,,HVAC,hvac,Heating & cooling,"Heating, cooling, and indoor air quality service from local HVAC professionals.",active,,assets/icons/hvac.svg,assets/images/service-hvac.jpg,Outdoor air conditioner with service gauges attached,thermometer,AC repair and recharge | Furnace service | Seasonal maintenance | Thermostat installation | Duct inspection | System replacement estimates | AC installation | Duct cleaning | Heat pump service
child,1,hvac,AC repair and recharge,hvac-ac-repair-and-recharge,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
child,2,hvac,Furnace service,hvac-furnace-service,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
child,3,hvac,Seasonal maintenance,hvac-seasonal-maintenance,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
child,4,hvac,Thermostat installation,hvac-thermostat-installation,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
child,5,hvac,Duct inspection,hvac-duct-inspection,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
child,6,hvac,System replacement estimates,hvac-system-replacement-estimates,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
child,7,hvac,AC installation,hvac-ac-installation,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
child,8,hvac,Duct cleaning,hvac-duct-cleaning,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
child,9,hvac,Heat pump service,hvac-heat-pump-service,,,active,hvac,assets/icons/hvac.svg,assets/images/service-hvac.jpg,,,
parent,3,,Electrical,electrical,Panels & lighting,"Panel upgrades, lighting, outlets, and electrical safety work from licensed electricians.",active,,assets/icons/electrical.svg,assets/images/service-electrical.jpg,Open residential breaker panel with circuit work in progress,zap,Outlet and switch repair | Lighting installation | Panel upgrades | EV charger preparation | Safety inspections | Ceiling fan installation | Dedicated circuit install | Smoke detector install
child,1,electrical,Outlet and switch repair,electrical-outlet-and-switch-repair,,,active,electrical,assets/icons/electrical.svg,assets/images/service-electrical.jpg,,,
child,2,electrical,Lighting installation,electrical-lighting-installation,,,active,electrical,assets/icons/electrical.svg,assets/images/service-electrical.jpg,,,
child,3,electrical,Panel upgrades,electrical-panel-upgrades,,,active,electrical,assets/icons/electrical.svg,assets/images/service-electrical.jpg,,,
child,4,electrical,EV charger preparation,electrical-ev-charger-preparation,,,active,electrical,assets/icons/electrical.svg,assets/images/service-electrical.jpg,,,
child,5,electrical,Safety inspections,electrical-safety-inspections,,,active,electrical,assets/icons/electrical.svg,assets/images/service-electrical.jpg,,,
child,6,electrical,Ceiling fan installation,electrical-ceiling-fan-installation,,,active,electrical,assets/icons/electrical.svg,assets/images/service-electrical.jpg,,,
child,7,electrical,Dedicated circuit install,electrical-dedicated-circuit-install,,,active,electrical,assets/icons/electrical.svg,assets/images/service-electrical.jpg,,,
child,8,electrical,Smoke detector install,electrical-smoke-detector-install,,,active,electrical,assets/icons/electrical.svg,assets/images/service-electrical.jpg,,,
parent,4,,Handyman,handyman,Small home repairs,"Reliable help for small repairs, assembly, mounting, and punch-list home projects.",active,,assets/icons/handyman.svg,assets/images/service-handyman.jpg,Cordless drill mounting a wood floating shelf,wrench,Furniture assembly | TV and shelf mounting | Door and trim repair | Caulking and patching | Hardware replacement | Small drywall repair | Lock replacement | Picture hanging
child,1,handyman,Furniture assembly,handyman-furniture-assembly,,,active,handyman,assets/icons/handyman.svg,assets/images/service-handyman.jpg,,,
child,2,handyman,TV and shelf mounting,handyman-tv-and-shelf-mounting,,,active,handyman,assets/icons/handyman.svg,assets/images/service-handyman.jpg,,,
child,3,handyman,Door and trim repair,handyman-door-and-trim-repair,,,active,handyman,assets/icons/handyman.svg,assets/images/service-handyman.jpg,,,
